"Category","Term","Genes","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact"
"REACTOME_PATHWAY","Metabolism of RNA","3.97%","702","8945","718","11494","1.29e-56","3.43e-53","1.26","3.43e-53","2.84e-53","1.10e-57"
"REACTOME_PATHWAY","Disease","9.59%","1693","8945","1926","11494","5.17e-35","6.87e-32","1.13","1.37e-31","5.69e-32","2.51e-35"
"REACTOME_PATHWAY","Gene expression (Transcription)","8.05%","1421","8945","1614","11494","1.13e-29","1.00e-26","1.13","3.01e-26","8.32e-27","5.43e-30"
"REACTOME_PATHWAY","Infectious disease","5.59%","987","8945","1094","11494","3.37e-29","2.24e-26","1.16","8.97e-26","1.86e-26","1.29e-29"
"REACTOME_PATHWAY","RHO GTPase cycle","2.47%","437","8945","455","11494","3.75e-28","1.99e-25","1.23","9.97e-25","1.65e-25","5.72e-29"
"REACTOME_PATHWAY","Cellular responses to stimuli","4.73%","835","8945","919","11494","3.98e-27","1.76e-24","1.17","1.06e-23","1.46e-24","1.42e-27"
"REACTOME_PATHWAY","Metabolism","10.69%","1888","8945","2197","11494","1.80e-26","6.85e-24","1.10","4.79e-23","5.67e-24","1.04e-26"
"REACTOME_PATHWAY","Vesicle-mediated transport","3.91%","691","8945","752","11494","5.33e-26","1.77e-23","1.18","1.42e-22","1.47e-23","1.68e-26"
"REACTOME_PATHWAY","Translation","1.64%","290","8945","294","11494","1.23e-25","3.65e-23","1.27","3.28e-22","3.02e-23","7.47e-27"
"REACTOME_PATHWAY","Cellular responses to stress","4.17%","737","8945","808","11494","3.44e-25","9.15e-23","1.17","9.15e-22","7.58e-23","1.18e-25"
"REACTOME_PATHWAY","Viral Infection Pathways","4.58%","809","8945","895","11494","1.75e-24","4.23e-22","1.16","4.65e-21","3.50e-22","6.60e-25"
"REACTOME_PATHWAY","Metabolism of proteins","10.44%","1844","8945","2153","11494","3.73e-24","8.26e-22","1.10","9.91e-21","6.84e-22","2.20e-24"
"REACTOME_PATHWAY","Immune System","10.54%","1862","8945","2177","11494","9.21e-24","1.88e-21","1.10","2.45e-20","1.56e-21","5.48e-24"
"REACTOME_PATHWAY","RNA Polymerase II Transcription","6.90%","1219","8945","1390","11494","1.11e-23","2.10e-21","1.13","2.95e-20","1.74e-21","5.49e-24"
"REACTOME_PATHWAY","Processing of Capped Intron-Containing Pre-mRNA","1.59%","280","8945","285","11494","1.47e-23","2.61e-21","1.26","3.91e-20","2.16e-21","1.11e-24"
"REACTOME_PATHWAY","Signaling by Rho GTPases, Miro GTPases and RHOBTB3","3.78%","668","8945","732","11494","5.58e-23","9.27e-21","1.17","1.48e-19","7.68e-21","1.91e-23"
"REACTOME_PATHWAY","Signaling by Rho GTPases","3.70%","654","8945","716","11494","8.96e-23","1.40e-20","1.17","2.38e-19","1.16e-20","3.03e-23"
"REACTOME_PATHWAY","Neutrophil degranulation","2.60%","460","8945","490","11494","1.27e-22","1.88e-20","1.21","3.38e-19","1.56e-20","3.01e-23"
"REACTOME_PATHWAY","Cell Cycle","3.56%","629","8945","687","11494","1.35e-22","1.89e-20","1.18","3.58e-19","1.56e-20","4.44e-23"
"REACTOME_PATHWAY","Transcriptional Regulation by TP53","1.96%","346","8945","361","11494","8.87e-22","1.18e-19","1.23","2.36e-18","9.76e-20","1.44e-22"
"REACTOME_PATHWAY","mRNA Splicing","1.21%","214","8945","215","11494","4.16e-21","5.27e-19","1.28","1.11e-17","4.36e-19","1.36e-22"
"REACTOME_PATHWAY","mRNA Splicing - Major Pathway","1.17%","206","8945","207","11494","2.99e-20","3.61e-18","1.28","7.94e-17","2.99e-18","1.02e-21"
"REACTOME_PATHWAY","Membrane Trafficking","3.35%","591","8945","648","11494","3.29e-20","3.80e-18","1.17","8.74e-17","3.15e-18","1.13e-20"
"REACTOME_PATHWAY","Diseases of signal transduction by growth factor receptors and second messengers","2.42%","428","8945","458","11494","5.91e-20","6.55e-18","1.20","1.57e-16","5.43e-18","1.50e-20"
"REACTOME_PATHWAY","Cell Cycle, Mitotic","2.88%","509","8945","554","11494","3.43e-19","3.65e-17","1.18","9.12e-16","3.02e-17","1.09e-19"
"REACTOME_PATHWAY","SARS-CoV Infections","2.54%","448","8945","484","11494","1.38e-18","1.41e-16","1.19","3.66e-15","1.17e-16","3.99e-19"
"REACTOME_PATHWAY","Adaptive Immune System","4.31%","761","8945","856","11494","3.33e-18","3.28e-16","1.14","8.86e-15","2.72e-16","1.47e-18"
"REACTOME_PATHWAY","Generic Transcription Pathway","6.21%","1097","8945","1267","11494","3.83e-17","3.64e-15","1.11","1.02e-13","3.01e-15","2.10e-17"
"REACTOME_PATHWAY","rRNA processing","1.15%","204","8945","208","11494","8.30e-17","7.61e-15","1.26","2.95e-13","6.30e-15","7.14e-18"
"REACTOME_PATHWAY","HIV Infection","1.22%","215","8945","221","11494","3.81e-16","3.38e-14","1.25","8.85e-13","2.80e-14","4.36e-17"
"REACTOME_PATHWAY","rRNA processing in the nucleus and cytosol","1.10%","194","8945","198","11494","9.43e-16","8.09e-14","1.26","2.36e-12","6.70e-14","7.53e-17"
"REACTOME_PATHWAY","Aerobic respiration and respiratory electron transport","1.40%","248","8945","260","11494","8.34e-15","6.92e-13","1.23","2.21e-11","5.74e-13","1.49e-15"
"REACTOME_PATHWAY","Major pathway of rRNA processing in the nucleolus and cytosol","1.04%","184","8945","188","11494","8.99e-15","7.24e-13","1.26","2.39e-11","6.00e-13","8.94e-16"
"REACTOME_PATHWAY","Signaling by the B Cell Receptor (BCR)","0.92%","162","8945","164","11494","1.83e-14","1.43e-12","1.27","4.87e-11","1.18e-12","1.12e-15"
"REACTOME_PATHWAY","Fc epsilon receptor (FCERI) signaling","1.02%","180","8945","184","11494","2.25e-14","1.71e-12","1.26","5.99e-11","1.42e-12","2.10e-15"
"REACTOME_PATHWAY","Innate Immune System","5.62%","992","8945","1150","11494","3.16e-14","2.33e-12","1.11","8.38e-11","1.93e-12","1.76e-14"
"REACTOME_PATHWAY","S Phase","0.84%","149","8945","150","11494","3.39e-14","2.44e-12","1.28","9.03e-11","2.02e-12","1.52e-15"
"REACTOME_PATHWAY","Organelle biogenesis and maintenance","1.62%","286","8945","306","11494","1.94e-13","1.35e-11","1.20","5.14e-10","1.12e-11","4.91e-14"
"REACTOME_PATHWAY","Toll-like Receptor Cascades","0.95%","168","8945","172","11494","3.43e-13","2.34e-11","1.26","9.13e-10","1.94e-11","3.50e-14"
"REACTOME_PATHWAY","Class I MHC mediated antigen processing & presentation","1.93%","341","8945","371","11494","5.38e-13","3.57e-11","1.18","1.43e-9","2.96e-11","1.69e-13"
"REACTOME_PATHWAY","Post-translational protein modification","7.34%","1296","8945","1532","11494","1.27e-12","8.22e-11","1.09","3.37e-9","6.81e-11","8.07e-13"
