"OFFICIAL_GENE_SYMBOL","Original ID","Value","Gene Name","Species"
"A1BG","ENSG00000121410","","alpha-1-B glycoprotein(A1BG)","Homo sapiens"
"A1BG-AS1","ENSG00000268895","","A1BG antisense RNA 1(A1BG-AS1)","Homo sapiens"
"A2M","ENSG00000175899","","alpha-2-macroglobulin(A2M)","Homo sapiens"
"A2M-AS1","ENSG00000245105","","A2M antisense RNA 1(A2M-AS1)","Homo sapiens"
"A4GALT","ENSG00000128274","","alpha 1,4-galactosyltransferase (P1PK blood group)(A4GALT)","Homo sapiens"
"AAAS","ENSG00000094914","","aladin WD repeat nucleoporin(AAAS)","Homo sapiens"
"AACS","ENSG00000081760","","acetoacetyl-CoA synthetase(AACS)","Homo sapiens"
"AADAC","ENSG00000114771","","arylacetamide deacetylase(AADAC)","Homo sapiens"
"AADAT","ENSG00000109576","","aminoadipate aminotransferase(AADAT)","Homo sapiens"
"AAGAB","ENSG00000103591","","alpha and gamma adaptin binding protein(AAGAB)","Homo sapiens"
"AAK1","ENSG00000115977","","AP2 associated kinase 1(AAK1)","Homo sapiens"
"AAMDC","ENSG00000087884","","adipogenesis associated Mth938 domain containing(AAMDC)","Homo sapiens"
"AAMP","ENSG00000127837","","angio associated migratory cell protein(AAMP)","Homo sapiens"
"AAR2","ENSG00000131043","","AAR2 splicing factor(AAR2)","Homo sapiens"
"AARD","ENSG00000205002","","alanine and arginine rich domain containing protein(AARD)","Homo sapiens"
"AARS1","ENSG00000090861","","alanyl-tRNA synthetase 1(AARS1)","Homo sapiens"
"AARS2","ENSG00000124608","","alanyl-tRNA synthetase 2, mitochondrial(AARS2)","Homo sapiens"
"AARSD1","ENSG00000266967","","alanyl-tRNA synthetase domain containing 1(AARSD1)","Homo sapiens"
"AARSD1P1","ENSG00000234969","","AARSD1 pseudogene 1(AARSD1P1)","Homo sapiens"
"AASDH","ENSG00000157426","","aminoadipate-semialdehyde dehydrogenase(AASDH)","Homo sapiens"
"AASDHPPT","ENSG00000149313","","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase(AASDHPPT)","Homo sapiens"
"AASS","ENSG00000008311","","aminoadipate-semialdehyde synthase(AASS)","Homo sapiens"
"AATBC","ENSG00000215458","","apoptosis associated transcript in bladder cancer(AATBC)","Homo sapiens"
"AATF","ENSG00000275700","","apoptosis antagonizing transcription factor(AATF)","Homo sapiens"
"AATK","ENSG00000181409","","apoptosis associated tyrosine kinase(AATK)","Homo sapiens"
"ABAT","ENSG00000183044","","4-aminobutyrate aminotransferase(ABAT)","Homo sapiens"
"ABCA1","ENSG00000165029","","ATP binding cassette subfamily A member 1(ABCA1)","Homo sapiens"
"ABCA10","ENSG00000154263","","ATP binding cassette subfamily A member 10(ABCA10)","Homo sapiens"
"ABCA2","ENSG00000107331","","ATP binding cassette subfamily A member 2(ABCA2)","Homo sapiens"
"ABCA3","ENSG00000167972","","ATP binding cassette subfamily A member 3(ABCA3)","Homo sapiens"
"ABCA5","ENSG00000154265","","ATP binding cassette subfamily A member 5(ABCA5)","Homo sapiens"
"ABCA6","ENSG00000154262","","ATP binding cassette subfamily A member 6(ABCA6)","Homo sapiens"
"ABCA7","ENSG00000064687","","ATP binding cassette subfamily A member 7(ABCA7)","Homo sapiens"
"ABCA8","ENSG00000141338","","ATP binding cassette subfamily A member 8(ABCA8)","Homo sapiens"
"ABCA9","ENSG00000154258","","ATP binding cassette subfamily A member 9(ABCA9)","Homo sapiens"
"ABCA9-AS1","ENSG00000231749","","ABCA9 antisense RNA 1(ABCA9-AS1)","Homo sapiens"
"ABCB1","ENSG00000085563","","ATP binding cassette subfamily B member 1(ABCB1)","Homo sapiens"
"ABCB10","ENSG00000135776","","ATP binding cassette subfamily B member 10(ABCB10)","Homo sapiens"
"ABCB6","ENSG00000115657","","ATP binding cassette subfamily B member 6 (LAN blood group)(ABCB6)","Homo sapiens"
"ABCB7","ENSG00000131269","","ATP binding cassette subfamily B member 7(ABCB7)","Homo sapiens"
"ABCB8","ENSG00000197150","","ATP binding cassette subfamily B member 8(ABCB8)","Homo sapiens"
"ABCB9","ENSG00000150967","","ATP binding cassette subfamily B member 9(ABCB9)","Homo sapiens"
"ABCC1","ENSG00000103222","","ATP binding cassette subfamily C member 1 (ABCC1 blood group)(ABCC1)","Homo sapiens"
"ABCC10","ENSG00000124574","","ATP binding cassette subfamily C member 10(ABCC10)","Homo sapiens"
"ABCC3","ENSG00000108846","","ATP binding cassette subfamily C member 3(ABCC3)","Homo sapiens"
"ABCC4","ENSG00000125257","","ATP binding cassette subfamily C member 4 (PEL blood group)(ABCC4)","Homo sapiens"
"ABCC5","ENSG00000114770","","ATP binding cassette subfamily C member 5(ABCC5)","Homo sapiens"
"ABCC6","ENSG00000091262","","ATP binding cassette subfamily C member 6(ABCC6)","Homo sapiens"
"ABCC8","ENSG00000006071","","ATP binding cassette subfamily C member 8(ABCC8)","Homo sapiens"
"ABCC9","ENSG00000069431","","ATP binding cassette subfamily C member 9(ABCC9)","Homo sapiens"
"ABCD1","ENSG00000101986","","ATP binding cassette subfamily D member 1(ABCD1)","Homo sapiens"
"ABCD3","ENSG00000117528","","ATP binding cassette subfamily D member 3(ABCD3)","Homo sapiens"
"ABCD4","ENSG00000119688","","ATP binding cassette subfamily D member 4(ABCD4)","Homo sapiens"
"ABCE1","ENSG00000164163","","ATP binding cassette subfamily E member 1(ABCE1)","Homo sapiens"
"ABCF1","ENSG00000204574","","ATP binding cassette subfamily F member 1(ABCF1)","Homo sapiens"
"ABCF2","ENSG00000033050","","ATP binding cassette subfamily F member 2(ABCF2)","Homo sapiens"
"ABCF3","ENSG00000161204","","ATP binding cassette subfamily F member 3(ABCF3)","Homo sapiens"
"ABCG1","ENSG00000160179","","ATP binding cassette subfamily G member 1(ABCG1)","Homo sapiens"
"ABCG2","ENSG00000118777","","ATP binding cassette subfamily G member 2 (JR blood group)(ABCG2)","Homo sapiens"
"ABHD10","ENSG00000144827","","abhydrolase domain containing 10, depalmitoylase(ABHD10)","Homo sapiens"
"ABHD11","ENSG00000106077","","abhydrolase domain containing 11(ABHD11)","Homo sapiens"
"ABHD12","ENSG00000100997","","abhydrolase domain containing 12, lysophospholipase(ABHD12)","Homo sapiens"
"ABHD13","ENSG00000139826","","abhydrolase domain containing 13(ABHD13)","Homo sapiens"
"ABHD14A","ENSG00000248487","","abhydrolase domain containing 14A(ABHD14A)","Homo sapiens"
"ABHD14A-ACY1","ENSG00000114786","","ABHD14A-ACY1 readthrough(ABHD14A-ACY1)","Homo sapiens"
"ABHD14B","ENSG00000114779","","abhydrolase domain containing 14B(ABHD14B)","Homo sapiens"
"ABHD15","ENSG00000168792","","abhydrolase domain containing 15(ABHD15)","Homo sapiens"
"ABHD16A","ENSG00000204427","","abhydrolase domain containing 16A, phospholipase(ABHD16A)","Homo sapiens"
"ABHD16B","ENSG00000183260","","abhydrolase domain containing 16B(ABHD16B)","Homo sapiens"
"ABHD17A","ENSG00000129968","","abhydrolase domain containing 17A, depalmitoylase(ABHD17A)","Homo sapiens"
"ABHD17B","ENSG00000107362","","abhydrolase domain containing 17B, depalmitoylase(ABHD17B)","Homo sapiens"
"ABHD17C","ENSG00000136379","","abhydrolase domain containing 17C, depalmitoylase(ABHD17C)","Homo sapiens"
"ABHD18","ENSG00000164074","","abhydrolase domain containing 18(ABHD18)","Homo sapiens"
"ABHD2","ENSG00000140526","","abhydrolase domain containing 2, acylglycerol lipase(ABHD2)","Homo sapiens"
"ABHD3","ENSG00000158201","","abhydrolase domain containing 3, phospholipase(ABHD3)","Homo sapiens"
"ABHD4","ENSG00000100439","","abhydrolase domain containing 4, N-acyl phospholipase B(ABHD4)","Homo sapiens"
"ABHD5","ENSG00000011198","","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase(ABHD5)","Homo sapiens"
"ABHD6","ENSG00000163686","","abhydrolase domain containing 6, acylglycerol lipase(ABHD6)","Homo sapiens"
"ABI1","ENSG00000136754","","abl interactor 1(ABI1)","Homo sapiens"
"ABI2","ENSG00000138443","","abl interactor 2(ABI2)","Homo sapiens"
"ABI3","ENSG00000108798","","ABI family member 3(ABI3)","Homo sapiens"
"ABI3BP","ENSG00000154175","","ABI family member 3 binding protein(ABI3BP)","Homo sapiens"
"ABITRAM","ENSG00000119328","","actin binding transcription modulator(ABITRAM)","Homo sapiens"
"ABL1","ENSG00000097007","","ABL proto-oncogene 1, non-receptor tyrosine kinase(ABL1)","Homo sapiens"
"ABL2","ENSG00000143322","","ABL proto-oncogene 2, non-receptor tyrosine kinase(ABL2)","Homo sapiens"
"ABLIM1","ENSG00000099204","","actin binding LIM protein 1(ABLIM1)","Homo sapiens"
"ABLIM2","ENSG00000163995","","actin binding LIM protein family member 2(ABLIM2)","Homo sapiens"
"ABLIM3","ENSG00000173210","","actin binding LIM protein family member 3(ABLIM3)","Homo sapiens"
"ABO","ENSG00000175164","","ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase(ABO)","Homo sapiens"
"ABR","ENSG00000159842","","ABR activator of RhoGEF and GTPase(ABR)","Homo sapiens"
"ABRACL","ENSG00000146386","","ABRA C-terminal like(ABRACL)","Homo sapiens"
"ABRAXAS1","ENSG00000163322","","abraxas 1, BRCA1 A complex subunit(ABRAXAS1)","Homo sapiens"
"ABRAXAS2","ENSG00000165660","","abraxas 2, BRISC complex subunit(ABRAXAS2)","Homo sapiens"
"ABT1","ENSG00000146109","","activator of basal transcription 1(ABT1)","Homo sapiens"
"ABTB1","ENSG00000114626","","ankyrin repeat and BTB domain containing 1(ABTB1)","Homo sapiens"
"ACAA1","ENSG00000060971","","acetyl-CoA acyltransferase 1(ACAA1)","Homo sapiens"
"ACAA2P1","ENSG00000233585","","ACAA2 pseudogene 1(ACAA2P1)","Homo sapiens"
"ACACA","ENSG00000278540","","acetyl-CoA carboxylase alpha(ACACA)","Homo sapiens"
"ACACB","ENSG00000076555","","acetyl-CoA carboxylase beta(ACACB)","Homo sapiens"
"ACAD10","ENSG00000111271","","acyl-CoA dehydrogenase family member 10(ACAD10)","Homo sapiens"
"ACAD11","ENSG00000240303","","acyl-CoA dehydrogenase family member 11(ACAD11)","Homo sapiens"
"ACAD8","ENSG00000151498","","acyl-CoA dehydrogenase family member 8(ACAD8)","Homo sapiens"
